group,TD-DOA,keyword
Legal,363,DS
Legal,363,RTW
Legal,363,RTW
Legal,404,DS
Legal,404,DS - Succeed
Legal,1010,RTW
Legal,1010,DS
Legal,1010,DS - Succeed
Legal,39,file screening
Legal,226,DS
Legal,226,RTW
Legal,320,DS
Legal,444,DS
Legal,478,DS
Legal,478,DS - Succeed
Legal,564,MAB-2nd
Legal,478,DS
Legal,487,DS-Legal
Legal,121,file screening
Legal,290,DS
Legal,187,MAB
Legal,129,RTW
Legal,376,MAB-2nd
Legal,408,DS
Legal,440,DS
Legal,440,RTW
Legal,488,MAB-2nd
Legal,557,DS
Legal,816,RTW
Legal,103,file screening
Legal,103,RTW
Legal,368,MAB
Legal,22,file screening
Legal,22,HLM
Legal,28,RTW
Legal,28,RTW
Legal,109,MAB
Legal,39,file screening
Legal,46,file screening
Legal,46,HLM
Legal,46,RTW
Legal,95,RTW
Legal,203,MAB
Legal,178,RTW
Legal,48,file screening
Legal,798,MAB-2nd
Legal,436,MAB
Legal,116,file screening
Legal,713,MAB
Legal,832,MAB-2nd
Legal,425,MAB
Legal,611,DS - Succeed
Normal,42,file screening
Normal,134,MAB
Legal,175,MAB
Legal,918,Legal
Legal,126,file screening
Legal,126,HLM
Legal,267,MAB
Legal,425,RTW
Legal,453,RTW
Legal,482,RTW
Legal,510,RTW
Legal,538,RTW
Legal,568,RTW
Legal,603,RTW
Legal,106,file screening
Legal,520,MAB-2nd
Normal,22,file screening
Normal,363,RTW
Normal,450,RTW
Normal,672,MAB
Normal,735,RTW
Normal,1009,RTW
Normal,1937,MAB-2nd
Legal,107,RTW
Legal,272,RTW
Normal,251,file screening
Legal,31,file screening
Legal,117,RTW
Legal,454,DS
Legal,486,MAB
Legal,598,MAB-2nd
Legal,1461,DS
Legal,1504,MAB
Legal,85,file screening
Legal,332,MAB
Legal,337,RTW
Legal,425,MAB
Legal,502,MAB-2nd
Legal,62,file screening
Legal,168,file screening
Legal,84,file screening
Legal,378,MAB
Legal,389,HLM
Legal,1342,DS
Legal,1523,DS
Legal,1523,DS
Legal,135,file screening
Legal,177,file screening
Legal,358,RTW
Legal,582,RTW
Legal,610,RTW
Legal,710,MAB
Legal,638,RTW
Legal,667,RTW
Legal,710,MAB
Legal,710,MAB
Legal,694,RTW
Legal,16,file screening
Legal,16,file screening
Legal,67,RTW
Legal,69,RTW
Legal,87,RTW
Legal,160,MAB
Legal,123,RTW
Legal,272,MAB-2nd
Legal,233,RTW
Legal,126,file screening
Legal,363,MAB
Legal,363,MAB
Legal,454,MAB-2nd
Legal,1450,DS - Succeed
Legal,41,file screening
Legal,243,HLM
Legal,182,MAB
Legal,579,MAB
Legal,14,file screening
Legal,14,file screening
Legal,135,file screening
Legal,147,file screening
Legal,317,RTW
Legal,75,file screening
Normal,82,file screening
Normal,162,MAB
Legal,27,file screening
Legal,33,file screening
Legal,495,DS
Legal,515,DS
