tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0079147,1979,Mad Monkey Kung Fu,Hong Kong,1,en,116,"Action,Comedy",6.7,1148
tt0191801,1979,Invincible Enforcer,Hong Kong,1,en,114,Drama,5.3,54
tt0079376,1979,The Proud Twins,Hong Kong,1,en,112,"Action,Comedy,Romance",6.2,155
tt0077770,1979,Avenging Warriors of Shaolin,Hong Kong,1,en,110,"Action,Comedy",6.7,380
tt0165268,1979,Xue zhan wu ying quan,Hong Kong/South Korea,1,cmn,110,"Action,Drama",6.2,59
tt0079472,1979,Lam Sai Wing,Hong Kong,1,yue,108,"Action,Comedy,Drama",7.2,2585
tt0077655,1979,Last Hurrah for Chivalry,Hong Kong,1,en,106,"Action,Drama",7,1851
tt0079432,1979,Dirty Ho,Hong Kong,1,en,103,"Action,Comedy,Drama",7.1,1424
tt0079205,1979,Gwai giu chun,Hong Kong,1,yue,102,Horror,6.6,67
tt0079148,1979,Fung lau duen kim siu siu do,Hong Kong,1,yue,101,"Action,Comedy,Fantasy",6.4,285
tt0079804,1979,The Revenger,Taiwan/Hong Kong,1,en,101,\N,5.7,39
tt0079311,1979,猴形扣手,Hong Kong,1,yue,100,"Action,Drama",6.7,496
tt0079371,1979,The Kung Fu Instructor,Hong Kong,1,en,100,"Action,Drama",6.5,348
tt0080318,1979,Chap gei miu meng dui,Hong Kong,1,yue,100,"Action,Drama",6,285
tt0079315,1979,笑拳怪招,Hong Kong/South Korea,1,cmn,98,"Action,Comedy",6.6,5328
tt0079801,1979,Siu wan yuk,Hong Kong,1,yue,98,Horror,6.4,79
tt0199167,1979,Zhao ji zai da heng xing,Taiwan/Hong Kong,1,cmn,98,Action,6.1,26
tt0291957,1979,The Foxy Ladies,Hong Kong,1,en,98,"Action,Comedy,Romance",4,24
tt0078884,1979,Bok meng daan diy duet meng cheung,Hong Kong,1,yue,97,"Action,Adventure",7.1,613
tt0079439,1979,The Last Judgement,Hong Kong,1,en,97,Drama,5.8,9
tt0079484,1979,Dragon Fist,Hong Kong/Taiwan,1,en,97,"Action,Drama",6.1,2649
tt0079527,1979,The Shadow Boxing(1979),Hong Kong,1,en,97,"Action,Comedy,Fantasy",6.3,139
tt0080165,1979,Yuk feng fai kam,Hong Kong,1,yue,97,"Drama,Horror",5.7,22
tt0079900,1979,Itchy Fingers,Hong Kong,1,en,96,"Comedy,Crime",6.8,30
tt0081774,1979,Miu ming siu chuet,Hong Kong,1,yue,96,"Action,Comedy",5.7,39
tt0165193,1979,Liu siu lam chi,Taiwan/Hong Kong,1,yue,96,"Action,Adventure",5.7,56
tt0816828,1979,Young Lovers,Hong Kong,1,en,96,"Drama,Romance",5.1,14
tt0077479,1979,Dynamite Johnson,Hong Kong/Philippines,1,\N,95,"Action,Sci-Fi",4.5,86
tt0077558,1979,Five Superfighters,Hong Kong,1,en,95,"Action,Drama",6.5,378
tt0079183,1979,Full Moon Scimitar (1979),Hong Kong,1,en,95,"Action,Drama,Fantasy",6.2,155
tt0079265,1979,Hand Cuffs,Hong Kong,1,yue,95,"Action,Crime",6.8,19
tt0080028,1979,Chat sat,Hong Kong,1,yue,95,"Action,Thriller",7.2,67
tt0164370,1979,Kung Fu Leung Strikes Emmanuelle,Taiwan/Hong Kong,1,en,95,Action,5.7,44
tt0187071,1979,Golden Dragon Silver Snake,Hong Kong/South Korea,1,en,95,"Action,Drama",6.1,96
tt0079122,1979,Eunuch of the Western Palace,Taiwan/Hong Kong,1,en,94,"Action,Drama",5.8,40
tt0079609,1979,Dance of the Drunk Mantis,Hong Kong,1,en,94,"Action,Comedy",6.9,817
tt0079887,1979,上海灘大亨,Hong Kong,1,yue,94,Action,6.7,73
tt0165117,1979,Yan biu fook,Hong Kong,1,yue,94,"Action,Adventure,Drama",5.8,125
tt0078969,1979,Monkey Kung Fu,Hong Kong,1,en,93,"Action,Drama",6.4,421
tt0084902,1979,Liu tau kuen tau dai man tau,Taiwan/Hong Kong,1,yue,93,"Action,Comedy",4.4,59
tt0186092,1979,Fearless Duo,Hong Kong,1,en,93,"Action,Comedy",6.8,35
tt3060566,1979,San hu jiang,Taiwan/Hong Kong,1,cmn,93,"Action,Adventure",4.9,12
tt0078214,1979,"Scorching Sun, Fierce Wind, Wild Fire",Hong Kong/Taiwan,1,en,92,"Action,Adventure",5.7,83
tt0080166,1979,Chap ga siu ji,Hong Kong,1,yue,92,"Action,Comedy,Drama",7.2,1558
tt0080173,1979,Chu chai huet lui,Hong Kong,1,yue,92,"Action,Drama,Western",5.7,155
tt0081102,1979,Lung ying dou sau kam chung kwan,Hong Kong/Taiwan,1,yue,92,"Action,Drama",5.8,72
tt0081788,1979,Fists and Guts,Hong Kong,1,en,92,"Action,Comedy",6.3,92
tt0082706,1979,Mang kuen gwai sau,Hong Kong,1,yue,92,"Action,Adventure,Comedy",5.4,224
tt0165264,1979,Wu zhao shi ba fan,Hong Kong,1,\N,92,"Action,Drama",6.3,145
tt0166028,1979,Dressed to Fight,Taiwan/Hong Kong,1,en,92,"Adventure,Mystery",4.6,44
